scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops,noPathLastRound,hopCapExceededDrops,chContactCount,tourTimeSec
EGATS-N,200,1000,1000,604.491,250,512,10,9,0.405419,12182,9255,9829,1,559,0.00820883,0.00677594,2.8737,2.08251,0.479908,-1,-1,-1,94.2303,4,0,0,189,2845,19,80.6774
RCGA-ABC,200,1000,1000,604.491,250,512,10,9,0.368674,12182,9280,9886,0,543,0,0,0,2.106,0.479832,-1,-1,-1,123.475,5,0,0,183,2862,11,56.6977
DGA-M,200,1000,1000,604.491,250,512,10,9,0.354034,12182,9335,9921,0,538,0,0,0,2.10267,0.479749,-1,-1,-1,97.3631,4,0,0,189,2934,17,164.159
CGAPD,200,1000,1000,604.491,250,512,10,9,0,12182,9377,9975,1,498,0.00820883,0.00677594,0.00552626,2.09593,0.480733,-1,-1,-1,95.6573,0,0,0,186,2885,30,319.275
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,10,0.58858,12174,9695,10615,4,463,0.0328569,0.0271038,4.00702,1.98174,0.483352,-1,-1,-1,24.0789,8,0,0,165,2114,19,238.404
AGAPC,200,1000,1000,604.491,250,512,10,10,0.402936,12174,9733,10671,16,470,0.131428,0.108415,4.99836,1.99394,0.482179,-1,-1,-1,115.498,4,0,0,159,2089,22,106.03
EGATS-N,200,1000,1000,604.491,250,512,10,10,0.409076,12174,9696,10660,7,471,0.0574996,0.0474316,0.411878,1.98606,0.482859,-1,-1,-1,106.607,4,0,0,173,2076,21,64.5091
RCGA-ABC,200,1000,1000,604.491,250,512,10,10,0.362059,12174,9761,10689,0,467,0,0,0,2.00019,0.483256,-1,-1,-1,111.006,5,0,0,170,2131,25,147.643
DGA-M,200,1000,1000,604.491,250,512,10,10,0.395683,12174,9792,10688,7,445,0.0574996,0.0474316,0.783396,1.99167,0.48294,-1,-1,-1,101.959,4,0,0,199,2137,17,93.8384
CGAPD,200,1000,1000,604.491,250,512,10,10,0,12174,9861,10781,0,417,0,0,0,1.97533,0.483768,-1,-1,-1,69.2924,0,0,0,154,2018,28,273.265
